"","ID","Group","Feature_1","Feature_2","Feature_3"
"1","ID278","A",2761.55756713334,406.980873989263,6224.92667084876
"2","ID258","A",2372.65302289864,400.989413315957,5108.87726506022
"3","ID355","C",2225.17200764114,379.685456562333,-1862.47181981579
"4","ID481","C",2445.11298039959,388.166272460961,-2057.38535487217
"5","ID742","A",2547.88295394627,382.226954022749,5743.42966232347
"6","ID517","C",2534.13189919245,390.54080703464,-2128.32599914832
"7","ID966","C",2225.84949833913,391.740053118932,-1839.62671568878
"8","ID388","B",2752.35785207233,399.629626746153,5495.85171704607
"9","ID642","C",2248.10458269323,406.312446560872,-1820.60207266581
"10","ID852","A",2273.59649695226,407.741545012917,4757.09345726931
"11","ID691","C",2086.65580279201,414.643664503958,-1676.92649377162
"12","ID326","C",2128.30137885648,393.394169147032,-1722.55307884799
"13","ID909","B",2648.51504118083,365.913086209149,5284.21946459929
"14","ID702","A",2509.31729950708,407.607043460375,5508.56279010344
"15","ID879","A",2451.54174039461,390.364484070986,5405.85169374454
"16","ID575","B",2631.89127853536,407.383697629164,5267.82565412256
"17","ID286","B",2383.79272132083,412.765934900663,4778.98616281936
"18","ID452","C",2141.78099871951,400.595646256164,-1746.13903112093
"19","ID648","B",2735.9252852658,399.523090442897,5470.26934692401
"20","ID994","C",2635.48725528545,420.881405688284,-2223.4037044124
"21","ID587","C",2485.12790441853,406.011872207679,-2078.77058326616
"22","ID915","A",2659.85690774341,399.404677226681,5985.4136755023
"23","ID106","C",2332.42124106686,427.95168705953,-1901.57100558782
"24","ID112","C",2644.00997598403,401.960848210086,-2226.40843751494
"25","ID190","B",2969.11275018089,408.852280966868,5937.85742370038
"26","ID311","C",2608.4382581618,400.360220592767,-2206.58966886163
"27","ID222","C",2518.71713661784,389.968930880512,-2124.94533484413
"28","ID381","C",2921.17809061976,424.023462081685,-2484.94129626482
"29","ID539","A",2552.12098889422,387.15811007569,5740.22840593624
"30","ID788","A",2375.36852971615,420.14304199094,5029.51780071504
"31","ID448","B",2691.52868319921,383.309328493525,5389.79073981931
"32","ID926","C",2916.79253561902,380.881196656777,-2548.05516430702
"33","ID433","B",2331.49066462737,378.125440684071,4674.79072727034
"34","ID811","C",2266.21726522558,404.016938549322,-1856.3064859404
"35","ID436","B",2598.1595703689,425.349726362459,5192.48167225087
"36","ID508","C",2821.46423235569,399.018657562722,-2427.09734751705
"37","ID427","B",2636.95657348933,414.149533310138,5272.8030163189
"38","ID325","A",2435.47371147511,430.081620875688,5141.81545724525
"39","ID146","C",1805.69426737584,410.750198103448,-1403.78845612632
"40","ID314","A",2103.79339564829,401.372111170619,4297.62311862644
"41","ID196","C",2595.87361853856,401.842086364969,-2194.49803813823
"42","ID120","C",2602.65356121366,423.94748206861,-2189.3965925281
"43","ID271","B",2901.20132573728,406.353038453716,5802.07642502838
"44","ID716","B",2743.08907431358,385.590874945949,5488.9677065517
"45","ID472","C",2037.66242093047,424.66983202958,-1622.20706558123
"46","ID677","A",2533.59769364693,417.052155626451,5514.95402649599
"47","ID592","A",2486.63813128996,432.046526742128,5303.79622498905
"48","ID231","B",2346.19574988129,406.134362996139,4689.64211707424
"49","ID773","A",2560.75589084173,406.200432984183,5657.23745477444
"50","ID267","A",2443.50665983481,382.238158089047,5410.25898418897
"51","ID361","A",2941.76354675141,402.551789043727,6785.31812446739
"52","ID761","C",2852.15090518055,399.563134193894,-2455.38770775842
"53","ID579","A",2733.21523350541,429.238382307533,6055.7446277184
"54","ID721","B",2718.99258082473,384.777570277621,5440.05835767007
"55","ID813","C",2671.07854065042,395.947547391277,-2271.19012970771
"56","ID736","B",2317.7290883695,410.845977189933,4628.77174050821
"57","ID936","C",2601.60652471783,401.317671903692,-2199.69943661146
"58","ID226","A",2392.57083880928,400.529864765209,5180.55230555284
"59","ID144","A",2607.79959600707,396.279021514763,5841.88850053173
"60","ID661","A",2328.70393164719,394.050606521963,4991.52448571419
"61","ID634","A",1921.49144985322,413.427392797437,3688.87474382081
"62","ID294","C",2650.3196823991,401.718099457554,-2256.34242973369
"63","ID376","A",2362.21111369365,430.243861370392,4925.83342324929
"64","ID328","C",2583.15390714841,405.996913402529,-2167.86772984761
"65","ID898","C",2826.73769150469,379.4936723522,-2439.20254646049
"66","ID395","C",2034.05505181311,411.085389917381,-1621.84116168871
